# Server version 0.08 running on 192.168.0.14:8197
# Game ID: 3889
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 23:58:46 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 3
PIT 1 12
PIT 0 18
PIT 1 23
PIT 0 0
PIT 1 19
PIT 0 22
PIT 1 13
PIT 0 26
PIT 1 27
PIT 0 1
PIT 1 24
PIT 0 23
PIT 1 30
PIT 0 2
PIT 1 14
PIT 0 13
PIT 1 3
PIT 0 9
PIT 1 0
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 23:58:50 EDT 2016
