# Server version 0.08 running on localhost:8194
# Game ID: 3745
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 23:25:55 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 9
PIT 1 0
PIT 0 18
PIT 1 15
PIT 0 16
PIT 1 13
PIT 0 19
PIT 1 19
PIT 0 24
PIT 1 12
PIT 0 26
PIT 1 24
PIT 0 25
PIT 1 23
PIT 0 27
PIT 1 0
PIT 0 3
PIT 1 17
PIT 0 29
PIT 1 25
PIT 0 4
PIT 1 17
PIT 0 12
PIT 1 27
PIT 0 5
PIT 1 14
PIT 0 8
PIT 1 31
PIT 0 11
PIT 1 8
PIT 0 9
PIT 1 2
PIT 0 6
PIT 1 3
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 23:25:59 EDT 2016
