# Server version 0.08 running on wpa146022.wireless.mcgill.ca:8228
# Game ID: 5481
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 16:27:07 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 7
PIT 0 23
PIT 1 6
PIT 0 7
PIT 1 16
PIT 0 28
PIT 1 5
PIT 0 13
PIT 1 24
PIT 0 25
PIT 1 0
PIT 0 15
PIT 1 1
PIT 0 14
PIT 1 28
PIT 0 17
PIT 1 3
PIT 0 19
GAMEOVER WINNER 0
# Game ended: Fri Apr 01 16:27:10 EDT 2016
