# Server version 0.08 running on localhost:8194
# Game ID: 3558
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 23:03:41 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 3
PIT 1 12
PIT 0 6
PIT 1 18
PIT 0 10
PIT 1 13
PIT 0 15
PIT 1 29
PIT 0 11
PIT 1 12
PIT 0 2
PIT 1 11
PIT 0 23
PIT 1 26
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 15
PIT 0 2
PIT 1 1
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 23:03:44 EDT 2016
