# Server version 0.08 running on 192.168.0.14:8197
# Game ID: 4147
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 00:17:20 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 14
PIT 1 4
PIT 0 11
PIT 1 16
PIT 0 17
PIT 1 23
PIT 0 20
PIT 1 14
PIT 0 21
PIT 1 20
PIT 0 2
PIT 1 21
PIT 0 1
PIT 1 25
PIT 0 26
PIT 1 0
PIT 0 27
PIT 1 1
PIT 0 28
PIT 1 4
GAMEOVER WINNER 1
# Game ended: Fri Apr 01 00:17:23 EDT 2016
