# Server version 0.08 running on wpa146044.wireless.mcgill.ca:8269
# Game ID: 7608
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 14:29:25 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 1
PIT 0 19
PIT 1 14
PIT 0 10
PIT 1 13
PIT 0 16
PIT 1 19
PIT 0 29
PIT 1 0
PIT 0 23
PIT 1 4
PIT 0 3
PIT 1 18
PIT 0 25
PIT 1 21
PIT 0 15
PIT 1 6
PIT 0 9
PIT 1 22
PIT 0 10
PIT 1 25
PIT 0 14
PIT 1 27
PIT 0 0
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 14:29:28 EDT 2016
