# Server version 0.08 running on 192.168.0.10:8329
# Game ID: 8656
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 01:26:22 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 4
PIT 0 19
PIT 1 2
PIT 0 18
PIT 1 3
PIT 0 22
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 7
PIT 1 2
PIT 0 16
PIT 1 6
PIT 0 10
PIT 1 7
PIT 0 13
PIT 1 3
PIT 0 0
PIT 1 4
PIT 0 3
PIT 1 9
PIT 0 1
PIT 1 10
PIT 0 23
PIT 1 14
PIT 0 2
PIT 1 11
PIT 0 8
PIT 1 16
PIT 0 17
PIT 1 17
PIT 0 24
PIT 1 7
PIT 0 27
PIT 1 12
PIT 0 18
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 01:26:31 EDT 2016
