# Server version 0.08 running on wpa146035.wireless.mcgill.ca:8185
# Game ID: 7817
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Apr 04 17:20:08 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 4
PIT 1 1
PIT 0 20
PIT 1 14
PIT 0 19
PIT 1 13
PIT 0 23
PIT 1 15
PIT 0 14
PIT 1 11
PIT 0 16
PIT 1 22
PIT 0 26
PIT 1 18
PIT 0 22
PIT 1 20
PIT 0 10
PIT 1 24
PIT 0 9
PIT 1 22
PIT 0 28
PIT 1 21
PIT 0 22
PIT 1 0
PIT 0 1
PIT 1 23
PIT 0 0
GAMEOVER WINNER 0
# Game ended: Mon Apr 04 17:20:23 EDT 2016
