# Server version 0.08 running on wpa146086.wireless.mcgill.ca:8185
# Game ID: 2025
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 14:24:08 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 0
PIT 0 21
PIT 1 1
PIT 0 24
PIT 1 3
PIT 0 19
PIT 1 5
PIT 0 13
PIT 1 8
PIT 0 27
PIT 1 11
PIT 0 23
PIT 1 12
PIT 0 19
GAMEOVER WINNER 0
# Game ended: Thu Mar 31 14:24:10 EDT 2016
