# Server version 0.08 running on 192.168.0.14:8190
# Game ID: 3162
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 20:53:07 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 22
PIT 0 1
PIT 1 17
PIT 0 10
PIT 1 10
PIT 0 22
PIT 1 19
PIT 0 14
PIT 1 7
PIT 0 16
PIT 1 20
PIT 0 0
PIT 1 1
PIT 0 15
PIT 1 2
PIT 0 5
PIT 1 6
PIT 0 17
PIT 1 14
GAMEOVER WINNER 1
# Game ended: Thu Mar 31 20:53:09 EDT 2016
