# Server version 0.08 running on wpa146022.wireless.mcgill.ca:8228
# Game ID: 5737
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 16:42:45 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260549558', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260549558
PIT 0 22
PIT 1 12
PIT 0 0
PIT 1 19
PIT 0 15
PIT 1 26
PIT 0 23
PIT 1 13
PIT 0 16
PIT 1 1
PIT 0 22
PIT 1 28
PIT 0 18
PIT 1 29
PIT 0 21
PIT 1 15
PIT 0 23
PIT 1 1
PIT 0 25
PIT 1 2
PIT 0 4
PIT 1 3
PIT 0 22
PIT 1 6
PIT 0 20
PIT 1 11
PIT 0 1
PIT 1 12
PIT 0 4
PIT 1 13
PIT 0 2
PIT 1 14
PIT 0 9
GAMEOVER WINNER 0
# Game ended: Fri Apr 01 16:42:48 EDT 2016
